127.0.0.1 - - [27/Dec/2023:09:44:37 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:45:07 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:46:18 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:46:21 +0900] "GET /JSPBasic/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:08:43 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:08:43 +0900] "GET /JSPBasic/img/%ED%85%8C%EC%8A%A4%ED%8A%B81.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:04 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:04 +0900] "GET /JSPBasic/img/su.png HTTP/1.1" 200 8685
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:57 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:10:04 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:10:11 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:10:30 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:10:38 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:10:46 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:16:20 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:16:20 +0900] "GET /JSPBasic/img/su.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:19:26 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:19:26 +0900] "GET /JSPBasic/img/su.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:19:44 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:19:51 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:21:24 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:21:42 +0900] "GET /JSPBasic/Index02.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:32:55 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:33:46 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:34:52 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:38:25 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:40:20 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:44:02 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:46:50 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:47:48 +0900] "GET /JSPBasic/Index03.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:36 +0900] "GET /JSPBasic/Index04.html HTTP/1.1" 200 217
